LOCATION,SUBURB,Reason Code,Audit Date,ADDRESS,lon,lat,type,loctype,address,north,south,east,west
Salmon Street,Port Melbourne,BCD,May-22,"Salmon Street, Port Melbourne, Australia",144.9227929,-37.8278895,route,geometric_center,"salmon st, port melbourne vic 3207, australia",-37.820085,-37.8353805,144.9253974,144.9198932
Saltlake Boulevard,Wollert,BCD,Dec-21,"Saltlake Boulevard, Wollert, Australia",145.0388563,-37.6129923,route,geometric_center,"saltlake blvd, wollert vic 3750, australia",-37.6091379,-37.6167576,145.0396912,145.0369353
Saltwater Promenade,Point Cook,BC,Sep-21,"Saltwater Promenade, Point Cook, Australia",144.7700137,-37.9119405,route,geometric_center,"saltwater promenade, point cook vic 3030, australia",-37.9067766,-37.9184651,144.7879007,144.7515021
Samaria Road,Benalla,C,Oct-21,"Samaria Road, Benalla, Australia",145.9947213,-36.5601889,route,geometric_center,"samaria rd, benalla vic 3672, australia",-36.5482076,-36.5724374,145.9985257,145.9915605
Sand Road,Longwarry,ACD,Apr-22,"Sand Road, Longwarry, Australia",145.7760952,-38.093414,route,geometric_center,"sand rd, longwarry vic 3816, australia",-38.0805865,-38.1042943,145.7800733,145.766177
Sanders Road,Hazelwood North,BC,T,"Sanders Road, Hazelwood North, Australia",146.5125778,-38.2445382,route,geometric_center,"sanders rd, hazelwood north vic 3840, australia",-38.24310311970851,-38.24580108029151,146.5212474,146.5027655
Sandhurst Road,California Gully,ABCD,Apr-22,"Sandhurst Road, California Gully, Australia",144.2628707,-36.7304297,route,geometric_center,"sandhurst rd, california gully vic 3556, australia",-36.72587489999997,-36.73570440000002,144.2668635,144.258675
Sandilong Avenue,Irymple,BC,Jul-21,"Sandilong Avenue, Irymple, Australia",142.1640693,-34.2247115,route,geometric_center,"sandilong ave, irymple vic 3498, australia",-34.20646189999998,-34.24462600000002,142.1862772,142.1401488
Sandpiper Drive,Taylors Lakes,BC,T,"Sandpiper Drive, Taylors Lakes, Australia",144.7889857,-37.6955773,route,geometric_center,"sandpiper dr, taylors lakes vic 3038, australia",-37.6925436,-37.6991983,144.7913783,144.7872138
Saxonwood Drive,Narre Warren,BC,Mar-22,"Saxonwood Drive, Narre Warren, Australia",145.3097813,-38.032078,route,geometric_center,"saxonwood dr, narre warren vic 3805, australia",-38.0300113,-38.036883,145.3143491,145.3058823
Sayers Road,Hoppers Crossing,C,Sep-21,"Sayers Road, Hoppers Crossing, Australia",144.7008554,-37.8499136,route,geometric_center,"sayers rd, hoppers crossing vic 3029, australia",-37.84591459999997,-37.85310050000002,144.7357344,144.6649895
Scanlon Drive,Epping,BCD,Apr-22,"Scanlon Drive, Epping, Australia",144.9954767,-37.6441403,route,geometric_center,"scanlon dr, epping vic 3076, australia",-37.6381456,-37.6505583,145.0014613,144.9942305
Schotters Road,Mernda,C,Apr-22,"Schotters Road, Mernda, Australia",145.1028903,-37.594258,route,geometric_center,"schotters rd, mernda vic 3754, australia",-37.5861153,-37.6014803,145.1044805,145.101033
Seaford Road,Seaford,C,Jan-22,"Seaford Road, Seaford, Australia",145.1422915,-38.1100585,route,geometric_center,"seaford rd, seaford vic 3198, australia",-38.10637390000001,-38.1143027,145.1575893,145.1251683
Seaspray Road,Longford,C,Jan-22,"Seaspray Road, Longford, Australia",147.1334106,-38.2510578,route,geometric_center,"seaspray rd, longford vic 3851, australia",-38.17422879999997,-38.33676860000003,147.1631613,147.0877939
Seaspray Road,Seaspray,C,Jan-22,"Seaspray Road, Seaspray, Australia",147.1618415,-38.3270355,route,geometric_center,"seaspray rd, seaspray vic 3851, australia",-38.28114209999997,-38.36694610000002,147.1882541,147.1522818
Sebastopol-Smythesdale Road,Ross Creek,BC,T,"Sebastopol-Smythesdale Road, Ross Creek, Australia",143.7673321,-37.6285079,route,geometric_center,"sebastopol-smythesdale rd, ross creek vic 3351, australia",-37.61217639999997,-37.64192270000003,143.8110617,143.7175742
Selkirk Road,Woodstock,AC,Apr-22,"Selkirk Road, Woodstock, Australia",145.0693144,-37.5379953,route,geometric_center,"selkirk rd, woodstock vic 3751, australia",-37.5228757,-37.5534992,145.0713904,145.0658766
Serpells Road,Templestowe,BC,Apr-22,"Serpells Road, Templestowe, Australia",145.1532792,-37.7669985,route,geometric_center,"serpells rd, templestowe vic 3106, australia",-37.75909039999997,-37.77308580000003,145.176025,145.1297884
Service Street,Clunes,C,T,"Service Street, Clunes, Australia",143.7830757,-37.2997834,route,geometric_center,"service st, clunes vic 3370, australia",-37.2940717,-37.3053471,143.7870981,143.7816713
Settlement Road,Thomastown,ABCD,Apr-22,"Settlement Road, Thomastown, Australia",145.0317808,-37.6936637,route,geometric_center,"settlement rd, thomastown vic 3074, australia",-37.68781099999998,-37.69696820000003,145.05084,145.012571
Settlement Road,Cowes,C,T,"Settlement Road, Cowes, Australia",145.2319711,-38.4561318,route,geometric_center,"settlement rd, cowes vic 3922, australia",-38.45483176970851,-38.4575297302915,145.2631721,145.1973523
Seventh Street,Mildura,C,Jul-21,"Seventh Street, Mildura, Australia",142.1632294,-34.1826805,route,geometric_center,"seventh st, mildura vic 3500, australia",-34.1727728,-34.1933145,142.1753045,142.1514222
Seymour-Avenel Road,Seymour,C,Oct-21,"Seymour-Avenel Road, Seymour, Australia",145.1581177,-36.9900491,route,geometric_center,"seymour-avenel rd, seymour vic 3660, australia",-36.97066689999996,-37.00603800000002,145.1647989,145.147183
Seymour-Tooborac Road,Puckapunyal,C,Oct-21,"Seymour-Tooborac Road, Puckapunyal, Australia",144.938011,-37.0123919,route,geometric_center,"seymour-tooborac rd, puckapunyal vic 3662, australia",-37.00574449999998,-37.02786550000003,145.0680274,144.8077792
Seymour-Tooborac Road,Seymour,C,Oct-21,"Seymour-Tooborac Road, Seymour, Australia",145.1016793,-37.030768,route,geometric_center,"seymour-tooborac rd, seymour vic 3660, australia",-37.0291939697085,-37.03189193029149,145.1044752,145.0990437
Seymour-Tooborac Road,Tooborac,C,Oct-21,"Seymour-Tooborac Road, Tooborac, Australia",144.8705202,-37.0218382,route,geometric_center,"seymour-tooborac rd, tooborac vic 3522, australia",-37.01151159999998,-37.03622150000002,144.9426113,144.7976588
Shakespeare Street,Hamilton,C,Apr-22,"Shakespeare Street, Hamilton, Australia",142.0215381,-37.7350125,route,geometric_center,"shakespeare st, hamilton vic 3300, australia",-37.7312697,-37.7401197,142.0235276,142.0182315
Shanahan Parade,Newborough,AC,T,"Shanahan Parade, Newborough, Australia",146.2895107,-38.1916588,route,geometric_center,"shanahan parade, newborough vic 3825, australia",-38.1868059,-38.1957105,146.2957332,146.2845533
Shaws Road,Werribee,C,Sep-21,"Shaws Road, Werribee, Australia",144.6595017,-37.8897649,route,geometric_center,"shaws rd, werribee vic 3030, australia",-37.8857985,-37.8928996,144.6740369,144.6437741
Shearwater Drive,Pakenham,BC,Apr-22,"Shearwater Drive, Pakenham, Australia",145.4454864,-38.068422,route,geometric_center,"shearwater dr, pakenham vic 3810, australia",-38.0663037,-38.0705349,145.4554688,145.4360858
Sheepwash Road,Barwon Heads,BC,Jan-22,"Sheepwash Road, Barwon Heads, Australia",144.4896394,-38.2684574,route,geometric_center,"sheepwash rd, barwon heads vic 3227, australia",-38.2621127,-38.2749336,144.4916864,144.4875799
Shelford-Bannockburn Road,Teesdale,ABC,Dec-21,"Shelford-Bannockburn Road, Teesdale, Australia",144.0559583,-38.0289202,route,geometric_center,"bannockburn-shelford rd, teesdale vic 3328, australia",-38.01428619999997,-38.03763260000002,144.1063213,143.9957583
